"sa2_code","date","hour","count","seasonal","trend","normalised_count","cluster_id"
257900,2018-05-15,2,2391,-349.0852211738585,2740.0852211738584,2391,1.0
257900,2018-05-15,3,2304,-381.5908167873357,2685.590816787336,2304,1.0
257900,2018-05-15,4,2289,-403.04587211084566,2692.0458721108457,2289,1.0
257900,2018-05-15,5,2292,-403.92992029903183,2695.929920299032,2292,1.0
257900,2018-05-15,6,2259,-383.8245754762164,2642.8245754762165,2259,1.0
257900,2018-05-15,7,2385,-350.5432448727662,2735.543244872766,2385,1.0
257900,2018-05-15,8,2412,-316.31857963401535,2728.3185796340154,2412,1.0
257900,2018-05-15,9,2424,-289.92502722732644,2713.9250272273266,2424,1.0
257900,2018-05-15,10,2418,-273.2991687171332,2691.2991687171334,2418,1.0
257900,2018-05-15,11,2430,-262.2864284897747,2692.2864284897746,2430,1.0
257900,2018-05-15,12,2439,-251.40718798500387,2690.407187985004,2439,1.0
257900,2018-05-15,13,2451,-238.9026352016963,2689.9026352016963,2451,1.0
257900,2018-05-15,14,2463,-229.1106496639935,2692.1106496639936,2463,1.0
257900,2018-05-15,15,2460,-230.2748755298011,2690.274875529801,2460,1.0
257900,2018-05-15,16,2487,-248.9044702864648,2735.904470286465,2487,1.0
257900,2018-05-15,17,2469,-284.53850947734367,2753.5385094773437,2469,1.0
257900,2018-05-15,18,2367,-327.5110949695191,2694.511094969519,2367,1.0
257900,2018-05-15,19,2277,-362.3789384724585,2639.3789384724587,2277,1.0
257900,2018-05-15,20,2283,-375.92191170897365,2658.9219117089738,2283,1.0
257900,2018-05-15,21,2343,-364.7787645099675,2707.7787645099675,2343,1.0
257900,2018-05-15,22,2430,-337.8095382461821,2767.809538246182,2430,1.0
257900,2018-05-15,23,2403,-312.27428179275955,2715.2742817927597,2403,1.0
257900,2018-05-16,0,2352,-304.54431404163773,2656.544314041638,2352,1.0
257900,2018-05-16,1,2400,-321.91693833575636,2721.916938335756,2400,1.0
257900,2018-05-16,2,2352,-359.0211339291917,2711.021133929192,2352,1.0
257900,2018-05-16,3,2310,-398.85568930503143,2708.8556893050313,2310,1.0
257900,2018-05-16,4,2241,-421.3620048189079,2662.3620048189077,2241,1.0
257900,2018-05-16,5,2247,-412.8066832119342,2659.8066832119343,2247,1.0
257900,2018-05-16,6,2346,-372.51194862409903,2718.511948624099,2346,1.0
257900,2018-05-16,7,2439,-312.65227181405294,2751.652271814053,2439,1.0
257900,2018-05-16,8,2496,-251.3947570859136,2747.3947570859136,2496,1.0
257900,2018-05-16,9,2469,-204.2104528061793,2673.210452806179,2469,1.0
257900,2018-05-16,10,2499,-177.4801993197009,2676.4801993197007,2499,1.0
257900,2018-05-16,11,2520,-168.55441256065788,2688.554412560658,2520,1.0
257900,2018-05-16,12,2526,-169.51648066950182,2695.516480669502,2526,1.0
257900,2018-05-16,13,2526,-173.2600485514991,2699.260048551499,2526,1.0
257900,2018-05-16,14,2523,-177.80177039487577,2700.801770394876,2523,1.0
257900,2018-05-16,15,2529,-186.32255101276576,2715.322551012766,2529,1.0
257900,2018-05-16,16,2529,-203.3578030706166,2732.3578030706167,2529,1.0
257900,2018-05-16,17,2538,-229.78805086914295,2767.788050869143,2538,1.0
257900,2018-05-16,18,2385,-260.482242982402,2645.482242982402,2385,1.0
257900,2018-05-16,19,2355,-285.31048817213536,2640.3104881721356,2355,1.0
257900,2018-05-16,20,2385,-296.3017760268625,2681.3017760268626,2385,1.0
257900,2018-05-16,21,2439,-292.73017702257806,2731.730177022578,2439,1.0
257900,2018-05-16,22,2472,-282.8248173784686,2754.8248173784687,2472,1.0
257900,2018-05-16,23,2439,-280.12129313749415,2719.121293137494,2439,1.0
257900,2018-05-17,0,2370,-296.2025421593997,2666.2025421594,2370,1.0
257900,2018-05-17,1,2346,-333.8345104433906,2679.8345104433906,2346,1.0
257900,2018-05-17,2,2352,-384.5536343461033,2736.553634346103,2352,1.0
257900,2018-05-17,3,2313,-431.34935964846534,2744.3493596484655,2313,1.0
257900,2018-05-17,4,2226,-455.52764189187496,2681.5276418918747,2226,1.0
257900,2018-05-17,5,2169,-445.0479408902984,2614.0479408902984,2169,1.0
257900,2018-05-17,6,2295,-400.0604606028372,2695.0604606028373,2295,1.0
257900,2018-05-17,7,2436,-333.0684523747511,2769.068452374751,2436,1.0
257900,2018-05-17,8,2481,-261.98264722629057,2742.9826472262907,2481,1.0
257900,2018-05-17,9,2499,-201.82095796472976,2700.8209579647296,2499,1.0
257900,2018-05-17,10,2541,-160.02643095759072,2701.0264309575905,2541,1.0
257900,2018-05-17,11,2547,-136.45825137843804,2683.458251378438,2547,1.0
257900,2018-05-17,12,2565,-126.8037945485944,2691.8037945485944,2565,1.0
257900,2018-05-17,13,2547,-127.44471479421118,2674.444714794211,2547,1.0
257900,2018-05-17,14,2562,-137.8095245329185,2699.8095245329187,2562,1.0
257900,2018-05-17,15,2559,-159.65354852673974,2718.6535485267395,2559,1.0
257900,2018-05-17,16,2532,-192.86774903947685,2724.8677490394766,2532,1.0
257900,2018-05-17,17,2523,-231.82311140685735,2754.823111406857,2523,1.0
257900,2018-05-17,18,2463,-265.3335806181794,2728.333580618179,2463,1.0
257900,2018-05-17,19,2346,-280.3733714212592,2626.373371421259,2346,1.0
